date,time,CO,O3,NO2,SO2 ,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
170116,1000,0.6,9,22,-,-,41,29.4,325,1.7,
170116,1100,1,17,24,-,-,41,30.5,359,1.6,
170116,1200,1.1,22,32,-,-,41,31.6,34,1.6,
170116,1300,0.9,37,28,-,-,41,32.2,44,1.3,
170116,1400,0.6,43,30,-,-,40,32.7,125,1.3,
170116,1500,0.7,44,37,-,-,40,33.5,148,1.8,
170116,1600,0.7,56,27,-,-,40,33.6,318,1.7,
170116,1700,0.7,49,33,-,-,41,32.5,280,2.8,
170116,1800,0.8,47,33,-,-,41,32,242,2.6,
170116,1900,0.8,54,28,-,-,41,32,88,1.3,
170116,2000,0.9,35,37,-,-,41,31.8,52,0.6,
170116,2100,1.1,15,52,-,-,41,31.2,170,0.6,
170116,2200,0.6,23,26,-,-,42,27.3,176,0.6,
170116,2300,0.7,8,44,-,-,42,27.8,8,0.5,
170116,2400,0.7,9,36,-,-,42,28.3,3,0.5,
170117,100,0.7,4,45,-,-,42,28.4,326,0.5,
170117,200,0.9,2,49,-,-,41,28.7,150,0.5,
170117,300,0.9,2,42,-,-,41,28.9,23,0.5,
170117,400,0.9,5,39,-,-,41,29.2,152,0.5,
170117,500,0.9,4,42,-,-,42,28.9,118,0.5,
170117,600,1,3,46,-,-,41,28.7,181,0.5,
170117,700,1.2,3,47,-,-,41,28.6,157,0.5,
170117,800,1.1,4,33,-,-,42,27.9,7,0.9,
170117,900,1.2,4,32,-,-,42,28.3,179,0.8,
170117,1000,0.9,9,33,-,-,41,29,74,1.3,
170117,1100,0.9,14,27,-,-,41,29.3,10,1.7,
170117,1200,0.9,11,31,-,-,41,29.1,43,2.1,
170117,1300,0.8,12,30,-,-,41,29.1,59,1.9,
170117,1400,0.8,14,30,-,-,41,29.8,79,1.9,
170117,1500,0.7,18,31,-,-,41,30.5,154,1.8,
170117,1600,0.7,22,29,-,-,41,31,343,1.9,
170117,1700,0.8,18,34,-,-,41,31.1,60,1.1,
170117,1800,0.9,13,43,-,-,41,30.9,16,1,
170117,1900,1.1,8,48,-,-,41,30.6,13,0.8,
170117,2000,1.2,5,50,-,-,41,30.5,88,0.5,
170117,2100,1.5,2,53,-,-,41,30.2,39,0.5,
